classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.428,5,25,0.16993746693172176,0.27,0.25,0.23,0.2325,0.236
0.428,5,111,0.17109958383775287,0.27,0.255,0.23333333333333334,0.235,0.238
0.428,1,222,0.17133896855307226,0.27,0.255,0.23666666666666666,0.24,0.242
0.43,16,223,0.17221429850125494,0.28,0.26,0.24333333333333335,0.245,0.246
0.432,6,254,0.17204872578794722,0.28,0.26,0.24333333333333335,0.245,0.246
0.436,5,104,0.17242246820297927,0.28,0.26,0.24333333333333335,0.245,0.248
0.438,5,34,0.17309389138700168,0.28,0.26,0.24666666666666667,0.2475,0.25
0.438,11,350,0.17351838153643898,0.28,0.26,0.24666666666666667,0.2475,0.252
0.442,5,224,0.17592163205323222,0.28,0.26,0.24666666666666667,0.2475,0.252
0.442,11,256,0.17544609140267936,0.29,0.265,0.25,0.2525,0.256
0.444,5,257,0.17601273626204625,0.29,0.265,0.25,0.255,0.258
0.448,5,353,0.1757992061125798,0.29,0.27,0.25333333333333335,0.2575,0.262
0.45,5,82,0.17615237743108136,0.29,0.27,0.25333333333333335,0.2575,0.262
0.45,5,66,0.1752411762585844,0.3,0.275,0.25666666666666665,0.265,0.268
0.45,5,464,0.175781176705375,0.32,0.285,0.2633333333333333,0.2675,0.27
0.456,5,211,0.17585081058901877,0.32,0.29,0.26666666666666666,0.27,0.274
0.456,5,182,0.17494718412280427,0.33,0.295,0.2733333333333333,0.275,0.278
0.46,5,91,0.174767614725251,0.33,0.295,0.2733333333333333,0.275,0.278
0.464,5,244,0.17501219047769417,0.33,0.295,0.2733333333333333,0.275,0.278
0.464,5,126,0.17426657624778824,0.33,0.295,0.2733333333333333,0.275,0.278
0.464,5,334,0.17379516186306715,0.33,0.295,0.2733333333333333,0.275,0.278
0.468,15,208,0.17207963635163062,0.33,0.295,0.2733333333333333,0.275,0.278
0.47,2,457,0.17037081963383854,0.33,0.295,0.2733333333333333,0.275,0.278
0.472,10,498,0.1715930159475424,0.32,0.29,0.27,0.2725,0.278
0.476,3,499,0.1739616806362976,0.32,0.29,0.27,0.2725,0.278
0.478,3,144,0.17351723117093082,0.32,0.29,0.27,0.2725,0.278
0.478,3,70,0.16999307184063178,0.32,0.29,0.2733333333333333,0.275,0.28
0.478,12,332,0.168894637514421,0.32,0.29,0.2733333333333333,0.275,0.282
0.478,14,107,0.16736445516422094,0.32,0.29,0.27,0.275,0.282
0.476,1,239,0.16719388120747733,0.32,0.29,0.27,0.275,0.282
0.476,8,394,0.16757469484222137,0.32,0.29,0.27,0.275,0.286
0.478,14,359,0.16761593291975813,0.32,0.295,0.2733333333333333,0.2775,0.29
0.48,9,479,0.16860438633154254,0.32,0.295,0.2733333333333333,0.2775,0.29
0.48,11,281,0.16894316556436695,0.32,0.295,0.27666666666666667,0.28,0.294
0.482,16,480,0.17067728632865023,0.32,0.295,0.28,0.2825,0.296
0.484,3,108,0.174973521391567,0.32,0.295,0.2833333333333333,0.285,0.3
0.488,11,241,0.17558812294124918,0.32,0.3,0.2866666666666667,0.2875,0.302
0.49,19,481,0.1733872406808429,0.32,0.3,0.2866666666666667,0.2875,0.302
0.49,12,395,0.1747706013899901,0.32,0.305,0.29333333333333333,0.295,0.308
0.49,3,242,0.17826140495024154,0.32,0.305,0.29333333333333333,0.295,0.308
0.496,0,396,0.17610519955031104,0.32,0.305,0.29333333333333333,0.295,0.308
0.496,10,484,0.17635527746850102,0.32,0.31,0.2966666666666667,0.2975,0.31
0.498,10,397,0.17729149065871055,0.33,0.315,0.3,0.3,0.312
0.502,18,485,0.17759973931406428,0.33,0.315,0.3,0.3,0.312
0.502,3,141,0.17754607373004547,0.33,0.315,0.3,0.3025,0.314
0.51,3,398,0.17881173029775566,0.33,0.315,0.3,0.3025,0.316
0.514,3,487,0.1791956553829322,0.33,0.315,0.3,0.3025,0.316
0.514,3,14,0.17862924610121847,0.34,0.32,0.30333333333333334,0.305,0.318
0.516,3,189,0.17881109968109027,0.34,0.32,0.30333333333333334,0.305,0.318
0.516,3,38,0.17860779727091347,0.34,0.32,0.30333333333333334,0.305,0.32
0.52,0,364,0.17814403659436426,0.34,0.32,0.30333333333333334,0.305,0.32
0.522,3,383,0.17848779987359528,0.34,0.32,0.3,0.3025,0.318
0.522,3,20,0.17865287200510002,0.34,0.325,0.30333333333333334,0.305,0.32
0.526,3,365,0.17882253679201415,0.34,0.325,0.30666666666666664,0.3075,0.322
0.53,3,483,0.1784133136201977,0.34,0.325,0.30666666666666664,0.31,0.324
0.534,3,287,0.1774292603740521,0.34,0.325,0.30666666666666664,0.31,0.324
0.538,3,199,0.17717145197193968,0.34,0.33,0.31,0.3125,0.326
0.542,3,154,0.17632907237894943,0.34,0.33,0.31333333333333335,0.315,0.328
0.546,0,198,0.1756004927957572,0.34,0.33,0.31333333333333335,0.315,0.328
0.548,3,491,0.1751890253540228,0.33,0.325,0.31,0.3125,0.326
0.548,3,6,0.17392665513833083,0.33,0.325,0.31,0.3125,0.326
0.548,14,197,0.1724327186515057,0.33,0.325,0.31,0.3125,0.326
0.552,18,19,0.17099886505148948,0.33,0.33,0.31333333333333335,0.315,0.328
0.554,0,56,0.17226909327361373,0.34,0.33,0.31333333333333335,0.315,0.328
