classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.614,1,402,0.18873181928387117,0.47,0.35,0.33666666666666667,0.335,0.338
0.614,13,4,0.18388819911900392,0.48,0.355,0.34,0.335,0.338
0.618,18,448,0.18236353924325277,0.48,0.355,0.34,0.335,0.338
0.622,4,322,0.19373859705319693,0.48,0.355,0.34,0.335,0.338
0.624,0,230,0.2081735334719046,0.48,0.355,0.34,0.335,0.338
0.624,5,353,0.2436336233968105,0.48,0.355,0.34,0.3375,0.34
0.624,17,321,0.19160139828882256,0.48,0.355,0.34,0.3375,0.34
0.63,18,404,0.19152349853405976,0.48,0.355,0.34,0.3375,0.34
0.632,7,302,0.1877735782972388,0.48,0.355,0.3433333333333333,0.34,0.342
0.634,2,320,0.1894945052917139,0.48,0.355,0.3433333333333333,0.34,0.346
0.634,6,319,0.18879741492254087,0.48,0.36,0.3466666666666667,0.3425,0.348
0.636,19,317,0.18810660495493803,0.48,0.365,0.35,0.345,0.35
0.638,16,300,0.18629590467102883,0.48,0.365,0.35333333333333333,0.35,0.354
0.638,10,420,0.18329676058271152,0.48,0.37,0.3566666666666667,0.3525,0.358
0.638,12,378,0.1857138245474773,0.48,0.37,0.3566666666666667,0.3525,0.36
0.642,15,214,0.17768893572532002,0.48,0.37,0.3566666666666667,0.3525,0.36
0.64,6,254,0.21142675254859045,0.48,0.38,0.36333333333333334,0.3575,0.366
0.64,2,181,0.20020448734063298,0.48,0.38,0.36666666666666664,0.36,0.368
0.644,14,405,0.19350869662099562,0.48,0.38,0.36666666666666664,0.36,0.368
0.65,17,316,0.1825312016896304,0.48,0.39,0.37333333333333335,0.365,0.372
0.65,14,231,0.20942466694067094,0.49,0.395,0.37666666666666665,0.3675,0.374
0.652,1,418,0.17820869271730122,0.49,0.395,0.37666666666666665,0.3675,0.374
0.652,10,406,0.19393570441977598,0.49,0.395,0.38,0.37,0.376
0.652,4,251,0.200027763448642,0.49,0.395,0.38,0.37,0.376
0.654,16,403,0.1921606732833641,0.49,0.395,0.38,0.37,0.374
0.658,8,247,0.20636828197030171,0.49,0.395,0.38333333333333336,0.3725,0.376
0.66,6,407,0.19467940772062295,0.49,0.395,0.38333333333333336,0.3725,0.376
0.664,5,182,0.19362309473032144,0.49,0.395,0.38666666666666666,0.375,0.378
0.664,11,183,0.19395785878785274,0.49,0.395,0.38666666666666666,0.3775,0.38
0.664,2,477,0.2022662226712817,0.49,0.4,0.39,0.3825,0.386
0.664,2,115,0.18006045756600136,0.49,0.405,0.3933333333333333,0.385,0.39
0.664,2,213,0.17914473030305955,0.49,0.405,0.39666666666666667,0.39,0.394
0.664,15,1,0.17900683248548216,0.48,0.4,0.3933333333333333,0.3875,0.394
0.666,3,398,0.20074982541791464,0.48,0.4,0.3933333333333333,0.3875,0.396
0.666,10,248,0.20569953753304945,0.48,0.4,0.3933333333333333,0.3875,0.396
0.664,16,399,0.20452461716467368,0.48,0.405,0.39666666666666667,0.39,0.398
0.67,12,476,0.1976144747004237,0.48,0.405,0.39666666666666667,0.39,0.398
0.67,15,116,0.1816436656903858,0.48,0.405,0.39666666666666667,0.39,0.398
0.672,19,184,0.1964730765806139,0.48,0.405,0.39666666666666667,0.39,0.398
0.672,1,472,0.1802684662926901,0.49,0.41,0.4,0.3925,0.4
0.672,17,473,0.18045742798118747,0.49,0.41,0.4,0.395,0.402
0.674,12,333,0.19060291283444494,0.49,0.41,0.4,0.395,0.402
0.676,4,185,0.1974173702861187,0.5,0.415,0.4033333333333333,0.3975,0.404
0.68,1,215,0.17983698881171845,0.51,0.42,0.4066666666666667,0.4025,0.408
0.678,9,192,0.175585695981388,0.51,0.42,0.4033333333333333,0.4,0.406
0.682,1,411,0.1957273419703005,0.51,0.42,0.4033333333333333,0.4,0.408
0.686,0,58,0.17518150685907044,0.51,0.42,0.4033333333333333,0.4,0.408
0.688,13,412,0.1958711153969199,0.51,0.42,0.4033333333333333,0.4,0.408
0.69,9,413,0.195926150529216,0.51,0.42,0.4033333333333333,0.4,0.408
0.692,11,83,0.19447285957430394,0.51,0.42,0.4033333333333333,0.3975,0.404
0.694,14,133,0.19321833954328138,0.51,0.42,0.4033333333333333,0.3975,0.404
0.696,14,274,0.19229596706198215,0.51,0.42,0.4033333333333333,0.3975,0.404
0.696,2,209,0.1789851857377795,0.51,0.42,0.4033333333333333,0.395,0.402
0.696,10,275,0.19240272871565745,0.51,0.425,0.4033333333333333,0.395,0.404
0.7,12,210,0.1825291923416205,0.51,0.425,0.4033333333333333,0.395,0.406
0.7,7,194,0.17555933026447687,0.51,0.425,0.4033333333333333,0.395,0.406
0.7,5,211,0.18553574007249365,0.51,0.425,0.4033333333333333,0.3975,0.408
0.706,6,212,0.1868355327626516,0.51,0.425,0.4033333333333333,0.3975,0.408
0.708,12,395,0.18110551924829055,0.51,0.425,0.41,0.4025,0.412
0.71,10,225,0.1794089539925067,0.51,0.425,0.4066666666666667,0.4,0.41
0.712,10,397,0.18304105139013213,0.52,0.43,0.41,0.405,0.414
0.714,12,374,0.1820250707888824,0.52,0.43,0.41,0.405,0.416
0.714,4,117,0.1866754923802889,0.52,0.43,0.41,0.4075,0.418
0.714,6,134,0.1936541640030241,0.52,0.43,0.41,0.4075,0.42
0.718,3,199,0.17754522122086155,0.52,0.43,0.41,0.4075,0.42
0.718,0,415,0.19587709391593,0.52,0.43,0.41,0.4075,0.42
