classifier acc,actual label,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.188,talk.politics.guns,300,2.9957105499700734,0.09,0.105,0.11,0.105,0.122
0.188,comp.windows.x,494,2.99570785457083,0.1,0.11,0.11666666666666667,0.11,0.126
0.196,sci.space,273,2.9957054599130752,0.13,0.135,0.13333333333333333,0.125,0.136
0.198,sci.electronics,374,2.9957029808813576,0.13,0.14,0.14333333333333334,0.135,0.144
0.202,comp.graphics,138,2.9957004223236408,0.15,0.155,0.15333333333333332,0.1425,0.152
0.212,comp.sys.ibm.pc.hardware,287,2.995697573157012,0.15,0.155,0.15333333333333332,0.1425,0.152
0.214,rec.autos,28,2.995694065330873,0.15,0.155,0.15333333333333332,0.14,0.15
0.222,alt.atheism,3,2.9956903086737805,0.15,0.155,0.15333333333333332,0.14,0.152
0.232,sci.med,412,2.995687219432295,0.16,0.16,0.15666666666666668,0.1425,0.154
0.234,rec.motorcycles,178,2.9956832007749847,0.16,0.165,0.16333333333333333,0.1475,0.158
0.238,rec.motorcycles,113,2.995679826231598,0.17,0.165,0.16666666666666666,0.15,0.162
0.252,talk.politics.misc,236,2.9956763702110294,0.17,0.175,0.17333333333333334,0.155,0.166
0.254,comp.graphics,190,2.9956732436563094,0.17,0.175,0.17333333333333334,0.155,0.168
0.26,comp.graphics,482,2.9956703435055734,0.17,0.175,0.17333333333333334,0.155,0.172
0.264,comp.windows.x,211,2.995666625800224,0.18,0.185,0.18,0.16,0.176
0.272,comp.sys.mac.hardware,167,2.9956633613651134,0.17,0.18,0.17666666666666667,0.1575,0.176
0.276,sci.electronics,323,2.995659764901631,0.17,0.18,0.17666666666666667,0.1575,0.176
0.278,comp.windows.x,257,2.9956564579364984,0.17,0.18,0.17666666666666667,0.1575,0.176
0.284,talk.religion.misc,235,2.9956534414454072,0.18,0.18,0.17666666666666667,0.1575,0.176
0.282,comp.windows.x,224,2.995646865134388,0.18,0.185,0.18,0.16,0.178
0.286,rec.autos,293,2.9956425967328024,0.18,0.19,0.18,0.16,0.18
0.292,misc.forsale,193,2.995637673046218,0.18,0.195,0.18666666666666668,0.165,0.186
0.294,alt.atheism,198,2.9956322746531105,0.17,0.195,0.18666666666666668,0.165,0.186
0.298,soc.religion.christian,249,2.995627502119104,0.17,0.195,0.18666666666666668,0.165,0.186
0.304,alt.atheism,364,2.995623593192347,0.16,0.19,0.18666666666666668,0.1675,0.188
0.31,soc.religion.christian,50,2.9956197911923934,0.16,0.205,0.19666666666666666,0.18,0.196
0.314,soc.religion.christian,446,2.995616690888781,0.17,0.21,0.20333333333333334,0.185,0.2
0.316,misc.forsale,18,2.9956115954002906,0.19,0.22,0.21333333333333335,0.1925,0.206
0.32,sci.electronics,461,2.9956065172956925,0.19,0.22,0.21666666666666667,0.195,0.208
0.322,sci.med,424,2.9955986701536106,0.21,0.225,0.22,0.1975,0.212
0.334,talk.politics.misc,435,2.9955926114308764,0.22,0.23,0.22333333333333333,0.2,0.216
0.338,sci.space,400,2.9955881417059014,0.22,0.23,0.22666666666666666,0.205,0.222
0.348,sci.med,106,2.995581771188215,0.23,0.235,0.23333333333333334,0.2075,0.224
0.358,sci.crypt,37,2.9955752354284164,0.24,0.24,0.24,0.21,0.228
0.362,sci.crypt,367,2.9955945744406876,0.24,0.245,0.24333333333333335,0.2125,0.23
0.372,comp.os.ms-windows.misc,109,2.995566135070228,0.26,0.26,0.25666666666666665,0.225,0.242
0.378,comp.windows.x,126,2.995562268259019,0.26,0.26,0.25666666666666665,0.2275,0.246
0.38,talk.politics.mideast,21,2.9955548103755407,0.28,0.27,0.2633333333333333,0.2325,0.252
0.384,rec.sport.baseball,149,2.995548397894172,0.29,0.285,0.27,0.2375,0.256
0.388,talk.religion.misc,294,2.995545755764082,0.29,0.285,0.27666666666666667,0.2425,0.262
0.394,rec.motorcycles,304,2.9955391992435643,0.29,0.295,0.2833333333333333,0.2475,0.27
0.404,sci.crypt,390,2.9955332164674346,0.29,0.3,0.29,0.2525,0.274
0.408,talk.politics.guns,265,2.9955283329760785,0.29,0.3,0.29,0.2525,0.272
0.408,rec.sport.baseball,196,2.9955301088698523,0.29,0.3,0.29,0.25,0.27
0.414,sci.crypt,271,2.9955274700011736,0.29,0.305,0.29333333333333333,0.2525,0.272
0.414,rec.autos,439,2.995525358040742,0.3,0.31,0.2966666666666667,0.2575,0.278
0.416,talk.politics.guns,62,2.995520624861109,0.3,0.31,0.3,0.2625,0.28
0.422,comp.sys.mac.hardware,322,2.9955225373734486,0.3,0.315,0.30333333333333334,0.265,0.282
0.428,talk.religion.misc,311,2.9955244617323027,0.29,0.315,0.30333333333333334,0.2625,0.284
0.432,rec.motorcycles,375,2.9955248171148408,0.3,0.315,0.30666666666666664,0.265,0.284
0.434,talk.politics.mideast,150,2.9955240462472865,0.29,0.315,0.31,0.2675,0.286
0.438,comp.windows.x,82,2.9955237242101274,0.3,0.32,0.31333333333333335,0.2725,0.29
0.444,rec.sport.baseball,358,2.995518605361316,0.3,0.32,0.31333333333333335,0.27,0.29
0.448,talk.politics.guns,453,2.9955190983956066,0.31,0.33,0.32,0.275,0.294
0.448,sci.med,142,2.9955193787940204,0.31,0.335,0.3233333333333333,0.2775,0.296
0.45,rec.sport.baseball,458,2.995517844807155,0.31,0.34,0.3233333333333333,0.2825,0.3
0.45,rec.sport.hockey,475,2.9955155809004057,0.31,0.345,0.32666666666666666,0.2875,0.304
0.454,rec.motorcycles,428,2.995514874476545,0.32,0.345,0.3333333333333333,0.29,0.304
0.456,misc.forsale,119,2.9955140105082085,0.33,0.355,0.34,0.295,0.308
0.464,rec.sport.baseball,148,2.9955128206726154,0.32,0.35,0.33666666666666667,0.29,0.306
0.464,alt.atheism,58,2.995506002140789,0.33,0.35,0.34,0.2925,0.31
0.468,rec.autos,216,2.9955047444693097,0.33,0.35,0.3433333333333333,0.295,0.312
0.474,sci.med,382,2.995504233446908,0.33,0.35,0.3466666666666667,0.3,0.314
0.474,talk.politics.guns,223,2.9955021285283174,0.33,0.355,0.35,0.305,0.318
0.478,comp.windows.x,182,2.995496741232481,0.33,0.355,0.3566666666666667,0.31,0.32
0.484,sci.crypt,468,2.9954936121061055,0.33,0.345,0.3466666666666667,0.3025,0.314
0.486,talk.politics.guns,467,2.995487821316412,0.33,0.355,0.35,0.305,0.318
0.49,talk.politics.mideast,262,2.9954848048179157,0.34,0.365,0.36,0.3125,0.324
0.494,comp.sys.mac.hardware,15,2.9954795348949697,0.34,0.36,0.3566666666666667,0.3125,0.324
0.496,sci.space,107,2.995472908561688,0.34,0.36,0.3566666666666667,0.315,0.326
0.496,misc.forsale,419,2.9954651835979718,0.35,0.37,0.36666666666666664,0.3225,0.334
0.5,comp.sys.mac.hardware,123,2.9954621150141247,0.36,0.375,0.37,0.3275,0.34
0.508,comp.sys.ibm.pc.hardware,154,2.9954512583251454,0.36,0.375,0.37333333333333335,0.33,0.344
0.506,comp.graphics,168,2.9954439442260803,0.36,0.385,0.37666666666666665,0.3375,0.348
0.506,rec.sport.baseball,202,2.9954350684870152,0.36,0.385,0.37666666666666665,0.3375,0.35
0.514,rec.sport.baseball,238,2.9954275682839944,0.37,0.39,0.38,0.3425,0.356
0.514,rec.sport.baseball,336,2.995422832562185,0.37,0.39,0.38333333333333336,0.345,0.358
0.516,sci.electronics,476,2.9954153249199873,0.37,0.395,0.38666666666666666,0.35,0.364
0.52,sci.med,354,2.9954084833055323,0.38,0.4,0.39,0.355,0.368
0.526,sci.med,282,2.99538711771975,0.38,0.405,0.3933333333333333,0.36,0.37
0.534,comp.sys.mac.hardware,465,2.995375482138795,0.38,0.41,0.4066666666666667,0.3725,0.38
0.532,misc.forsale,201,2.9953624151314333,0.4,0.42,0.41333333333333333,0.3775,0.386
0.532,rec.sport.hockey,406,2.995353661786942,0.41,0.43,0.42333333333333334,0.385,0.394
0.534,talk.politics.misc,19,2.99533497645742,0.41,0.435,0.4266666666666667,0.3875,0.396
0.536,comp.sys.ibm.pc.hardware,365,2.995317981155338,0.41,0.43,0.42333333333333334,0.39,0.398
0.534,sci.space,429,2.9953188391059538,0.41,0.43,0.42,0.39,0.398
0.536,misc.forsale,112,2.9952888522936574,0.44,0.445,0.43666666666666665,0.405,0.408
0.54,comp.sys.ibm.pc.hardware,344,2.9952828009090955,0.44,0.44,0.43333333333333335,0.3975,0.402
0.552,soc.religion.christian,220,2.9952713561474136,0.46,0.45,0.44,0.4025,0.406
0.554,talk.religion.misc,277,2.9952612525496365,0.46,0.45,0.43666666666666665,0.3975,0.404
0.556,misc.forsale,319,2.9952568001923576,0.48,0.46,0.44333333333333336,0.4025,0.408
0.558,comp.os.ms-windows.misc,306,2.9952443063361134,0.49,0.465,0.45,0.4075,0.412
0.558,rec.sport.hockey,84,2.995231735808956,0.49,0.46,0.44666666666666666,0.405,0.41
0.564,comp.graphics,402,2.995205727363998,0.49,0.47,0.4533333333333333,0.4125,0.416
0.568,rec.sport.hockey,275,2.9951875907710392,0.49,0.47,0.4533333333333333,0.41,0.414
0.576,sci.med,347,2.995168335247058,0.51,0.48,0.46,0.415,0.418
0.58,rec.sport.baseball,401,2.995136770671823,0.51,0.48,0.46,0.415,0.418
0.58,sci.crypt,350,2.995127418541197,0.51,0.485,0.4633333333333333,0.4175,0.422
0.582,talk.religion.misc,370,2.995098561975132,0.52,0.485,0.4633333333333333,0.4125,0.42
0.586,sci.electronics,143,2.99507718148825,0.52,0.485,0.46,0.41,0.418
0.586,sci.crypt,452,2.9950467570792494,0.51,0.48,0.4533333333333333,0.4025,0.412
0.588,comp.sys.ibm.pc.hardware,229,2.9950275750876534,0.5,0.475,0.4533333333333333,0.4025,0.414
0.592,alt.atheism,161,2.9950047431999183,0.49,0.47,0.45,0.4,0.412
0.592,rec.autos,76,2.994969056065408,0.49,0.47,0.45,0.395,0.41
0.598,misc.forsale,259,2.9949384030404542,0.49,0.47,0.44666666666666666,0.395,0.408
0.6,soc.religion.christian,188,2.9949084703443014,0.49,0.47,0.44666666666666666,0.395,0.408
0.6,rec.motorcycles,394,2.994890965255809,0.49,0.47,0.44666666666666666,0.3925,0.406
0.602,comp.windows.x,111,2.9948647545541074,0.49,0.47,0.44666666666666666,0.395,0.408
0.608,talk.politics.misc,299,2.994844300688688,0.49,0.47,0.44666666666666666,0.3925,0.408
0.604,comp.os.ms-windows.misc,40,2.99482205515498,0.49,0.47,0.44666666666666666,0.395,0.41
0.608,rec.sport.hockey,408,2.9947847914190477,0.49,0.47,0.44666666666666666,0.3925,0.408
0.612,sci.med,130,2.994765858943962,0.49,0.475,0.45,0.395,0.41
0.616,sci.electronics,267,2.9947381439131107,0.49,0.475,0.44666666666666666,0.3925,0.408
0.618,rec.motorcycles,137,2.994718914108357,0.49,0.475,0.44666666666666666,0.3925,0.408
0.622,comp.windows.x,334,2.994698475698557,0.49,0.475,0.44666666666666666,0.3925,0.408
0.624,comp.sys.mac.hardware,345,2.994664965854443,0.48,0.47,0.44333333333333336,0.39,0.406
0.626,talk.politics.misc,67,2.9946452911741077,0.48,0.47,0.44333333333333336,0.39,0.406
0.63,sci.electronics,227,2.994628442718476,0.48,0.47,0.44333333333333336,0.39,0.406
0.632,rec.autos,384,2.9946129735054567,0.48,0.47,0.44333333333333336,0.39,0.406
0.636,soc.religion.christian,430,2.9945889691875247,0.48,0.475,0.44666666666666666,0.395,0.41
0.64,rec.autos,302,2.9945587953720993,0.48,0.475,0.44666666666666666,0.395,0.41
0.644,comp.graphics,218,2.9945505444106986,0.48,0.475,0.44666666666666666,0.3975,0.412
0.646,sci.space,197,2.9945411839406315,0.48,0.475,0.45,0.4,0.414
0.648,comp.sys.mac.hardware,191,2.9945318715834075,0.48,0.47,0.44333333333333336,0.3975,0.412
0.648,talk.politics.guns,399,2.9945153951973773,0.49,0.48,0.4533333333333333,0.405,0.422
0.65,talk.politics.guns,158,2.994481307844997,0.49,0.48,0.45666666666666667,0.4075,0.424
0.654,comp.graphics,411,2.994468129248275,0.49,0.48,0.4633333333333333,0.4125,0.43
0.656,comp.windows.x,88,2.9944502272169817,0.49,0.485,0.4666666666666667,0.4125,0.43
0.66,comp.sys.mac.hardware,251,2.994435869176912,0.49,0.485,0.4666666666666667,0.4125,0.43
0.662,talk.politics.mideast,164,2.9944045238425314,0.49,0.49,0.47,0.4175,0.436
0.662,soc.religion.christian,1,2.9943939301471816,0.5,0.495,0.47333333333333333,0.42,0.438
0.664,soc.religion.christian,61,2.994387624500605,0.5,0.495,0.4766666666666667,0.4225,0.44
0.666,misc.forsale,54,2.9943705859024514,0.5,0.495,0.4766666666666667,0.4225,0.44
0.672,sci.space,274,2.9943399132283286,0.5,0.495,0.4766666666666667,0.4225,0.44
0.674,rec.motorcycles,289,2.9943233911758327,0.5,0.495,0.4766666666666667,0.425,0.442
0.678,comp.sys.ibm.pc.hardware,398,2.9943087135947364,0.5,0.495,0.4766666666666667,0.4275,0.446
0.678,rec.sport.hockey,65,2.9942225940739275,0.5,0.495,0.48333333333333334,0.4325,0.45
0.682,comp.graphics,26,2.9941931291801978,0.5,0.495,0.4866666666666667,0.4375,0.454
0.684,sci.crypt,462,2.994155781042868,0.51,0.495,0.4866666666666667,0.44,0.456
0.688,sci.electronics,30,2.994139809748754,0.51,0.495,0.49333333333333335,0.445,0.462
0.688,sci.electronics,378,2.994101959280334,0.52,0.505,0.5,0.45,0.47
0.688,sci.space,421,2.994086781640564,0.52,0.505,0.5,0.45,0.47
0.69,comp.graphics,173,2.9940437480560362,0.52,0.505,0.5,0.45,0.472
0.698,rec.sport.baseball,361,2.9940387962717807,0.52,0.505,0.5033333333333333,0.4525,0.474
0.694,comp.os.ms-windows.misc,409,2.994004842264707,0.52,0.5,0.5,0.45,0.472
0.696,rec.autos,52,2.993967724944783,0.52,0.5,0.5,0.4525,0.474
0.694,talk.politics.mideast,86,2.9939485544671456,0.52,0.5,0.5,0.45,0.472
0.702,sci.med,497,2.9939190912180935,0.52,0.5,0.5,0.45,0.472
0.706,comp.graphics,385,2.993885628376891,0.52,0.5,0.5033333333333333,0.4525,0.474
0.708,comp.sys.ibm.pc.hardware,489,2.9938372032907257,0.52,0.5,0.5033333333333333,0.455,0.476
0.712,rec.autos,377,2.993774711846173,0.53,0.505,0.5066666666666667,0.4575,0.478
0.716,misc.forsale,71,2.993754336719786,0.53,0.505,0.5066666666666667,0.4575,0.478
0.714,soc.religion.christian,441,2.9937100454364725,0.53,0.505,0.51,0.46,0.482
0.716,talk.politics.guns,466,2.993670642523029,0.53,0.505,0.5066666666666667,0.46,0.482
0.716,alt.atheism,72,2.9936182288435247,0.53,0.505,0.5066666666666667,0.4625,0.484
0.716,misc.forsale,162,2.99357075723607,0.53,0.505,0.5066666666666667,0.46,0.484
0.714,sci.med,156,2.9935345101261195,0.53,0.505,0.5066666666666667,0.46,0.484
0.716,alt.atheism,63,2.9934766352114877,0.52,0.5,0.5033333333333333,0.46,0.484
0.718,comp.os.ms-windows.misc,469,2.9934404964192156,0.52,0.5,0.5,0.455,0.48
0.72,talk.politics.guns,325,2.9934257367904595,0.53,0.505,0.5033333333333333,0.4575,0.482
0.722,sci.med,324,2.993370836816374,0.53,0.505,0.5033333333333333,0.4575,0.482
0.722,talk.politics.misc,41,2.993291761093274,0.53,0.505,0.5033333333333333,0.4575,0.482
0.724,comp.sys.ibm.pc.hardware,189,2.9932699574618438,0.53,0.505,0.5033333333333333,0.4575,0.482
0.726,sci.crypt,183,2.9932248945138364,0.53,0.52,0.5133333333333333,0.465,0.488
0.73,talk.religion.misc,140,2.9931670849361107,0.53,0.515,0.51,0.4625,0.486
0.736,rec.sport.hockey,445,2.9930993869849685,0.53,0.51,0.5066666666666667,0.4575,0.486
0.738,rec.motorcycles,195,2.993068146937408,0.53,0.515,0.5133333333333333,0.4675,0.492
0.738,soc.religion.christian,436,2.993025341358809,0.53,0.515,0.5133333333333333,0.4675,0.492
0.74,talk.politics.mideast,492,2.9929548593516664,0.53,0.515,0.5133333333333333,0.465,0.49
0.74,comp.graphics,205,2.992897261846195,0.53,0.515,0.5133333333333333,0.465,0.49
0.744,comp.os.ms-windows.misc,245,2.992845774939495,0.53,0.515,0.5133333333333333,0.465,0.49
0.75,sci.crypt,125,2.992817338826619,0.53,0.52,0.5166666666666667,0.4675,0.492
0.754,comp.os.ms-windows.misc,470,2.992819662543738,0.54,0.525,0.52,0.47,0.494
0.754,rec.motorcycles,247,2.9928222343727136,0.54,0.525,0.52,0.4725,0.496
0.756,comp.graphics,239,2.99278198627931,0.54,0.525,0.5233333333333333,0.475,0.498
0.754,alt.atheism,376,2.9927064512654344,0.54,0.525,0.5233333333333333,0.475,0.5
0.758,rec.motorcycles,266,2.9926770610512783,0.54,0.52,0.52,0.4725,0.498
0.756,rec.sport.baseball,326,2.992674216356831,0.54,0.52,0.52,0.4725,0.496
0.754,rec.autos,5,2.9926113726864916,0.56,0.53,0.5233333333333333,0.475,0.498
0.756,comp.windows.x,416,2.992580118313349,0.57,0.535,0.5266666666666666,0.4775,0.5
0.758,comp.graphics,222,2.9925251957296846,0.57,0.535,0.5233333333333333,0.475,0.496
0.762,sci.space,291,2.9924741994805224,0.57,0.535,0.5233333333333333,0.475,0.496
0.762,sci.electronics,92,2.992405581084113,0.57,0.535,0.5266666666666666,0.4775,0.498
0.766,soc.religion.christian,339,2.992347253327951,0.57,0.535,0.53,0.48,0.498
0.764,rec.autos,253,2.992288441830005,0.57,0.535,0.53,0.48,0.498
0.768,rec.autos,39,2.9922013294714565,0.57,0.535,0.53,0.48,0.5
0.776,talk.politics.mideast,371,2.992106268107684,0.57,0.535,0.5333333333333333,0.4825,0.502
0.78,comp.windows.x,353,2.9920295035941287,0.58,0.54,0.54,0.49,0.508
0.778,rec.sport.baseball,459,2.992009088886924,0.58,0.54,0.5433333333333333,0.495,0.514
0.784,talk.politics.guns,480,2.991947271715497,0.58,0.54,0.5433333333333333,0.495,0.514
0.78,comp.windows.x,91,2.9919035823020814,0.58,0.545,0.5466666666666666,0.4975,0.518
0.78,comp.graphics,386,2.9918077597427706,0.58,0.545,0.5466666666666666,0.4975,0.518
0.784,talk.politics.misc,174,2.991785872407425,0.58,0.55,0.55,0.5,0.52
0.788,comp.os.ms-windows.misc,495,2.9916785066001776,0.58,0.555,0.5533333333333333,0.5025,0.52
0.788,comp.windows.x,68,2.9915966845236674,0.59,0.56,0.5566666666666666,0.5075,0.524
0.788,comp.sys.ibm.pc.hardware,491,2.991546881926288,0.59,0.57,0.5633333333333334,0.5125,0.528
0.79,sci.electronics,332,2.9915028389661003,0.59,0.57,0.5633333333333334,0.5125,0.528
0.79,talk.politics.guns,403,2.9914768875164137,0.59,0.57,0.5666666666666667,0.515,0.53
0.79,sci.med,29,2.991381735243486,0.59,0.57,0.57,0.515,0.53
0.792,sci.med,36,2.991298414565946,0.59,0.57,0.5733333333333334,0.5175,0.532
0.792,sci.med,171,2.99119367208163,0.59,0.565,0.5733333333333334,0.52,0.534
0.792,rec.sport.hockey,340,2.9911330463793604,0.59,0.565,0.57,0.5175,0.532
0.792,sci.electronics,493,2.9910279834318536,0.59,0.57,0.5733333333333334,0.52,0.534
0.796,alt.atheism,57,2.990954230221242,0.58,0.565,0.57,0.515,0.53
0.794,comp.sys.mac.hardware,280,2.990889649123923,0.58,0.565,0.57,0.515,0.53
0.794,misc.forsale,134,2.990787882473064,0.58,0.57,0.5733333333333334,0.5175,0.532
0.8,sci.crypt,48,2.9906977197244906,0.58,0.57,0.5766666666666667,0.52,0.534
0.8,comp.sys.mac.hardware,426,2.990617258199658,0.59,0.575,0.58,0.52,0.534
0.8,comp.windows.x,25,2.990487467223603,0.59,0.575,0.58,0.5225,0.536
0.8,comp.os.ms-windows.misc,33,2.9904433372546886,0.6,0.58,0.5833333333333334,0.525,0.538
0.802,rec.sport.hockey,152,2.9903670667108146,0.6,0.575,0.5766666666666667,0.5275,0.542
0.802,soc.religion.christian,232,2.9903271286018156,0.6,0.58,0.5766666666666667,0.525,0.54
0.802,rec.motorcycles,85,2.990165754476128,0.58,0.57,0.57,0.52,0.536
0.804,comp.os.ms-windows.misc,455,2.9901091593889424,0.58,0.57,0.57,0.5225,0.54
0.804,comp.os.ms-windows.misc,488,2.990090750943799,0.58,0.575,0.5733333333333334,0.5275,0.544
0.806,sci.electronics,210,2.9899312033911793,0.58,0.575,0.5733333333333334,0.53,0.548
0.81,rec.sport.hockey,0,2.989886935857452,0.58,0.575,0.5733333333333334,0.53,0.548
0.812,rec.sport.baseball,451,2.989719218033219,0.58,0.575,0.5733333333333334,0.53,0.548
0.816,comp.graphics,179,2.989622181614932,0.58,0.57,0.57,0.5275,0.546
0.816,rec.autos,121,2.989554372005958,0.58,0.57,0.57,0.5275,0.546
0.818,rec.sport.baseball,286,2.9894464743813196,0.58,0.57,0.57,0.5275,0.546
0.818,sci.space,387,2.989310319249927,0.58,0.57,0.5733333333333334,0.53,0.548
0.818,misc.forsale,372,2.9892357495296857,0.58,0.57,0.5733333333333334,0.53,0.548
0.82,alt.atheism,454,2.989065306821617,0.58,0.57,0.5733333333333334,0.53,0.548
0.82,misc.forsale,254,2.9890010353466896,0.58,0.565,0.5733333333333334,0.53,0.546
0.82,rec.sport.baseball,362,2.9888145882374033,0.59,0.575,0.58,0.535,0.55
0.824,talk.religion.misc,357,2.9887415529930323,0.59,0.575,0.58,0.535,0.55
0.826,sci.med,283,2.9886556298793456,0.59,0.585,0.5866666666666667,0.54,0.554
0.824,comp.graphics,433,2.9884770416688324,0.6,0.59,0.59,0.5425,0.556
0.828,misc.forsale,13,2.988379054974308,0.6,0.595,0.5933333333333334,0.545,0.558
0.828,talk.politics.mideast,316,2.9883284939553363,0.6,0.595,0.5933333333333334,0.545,0.558
0.828,sci.crypt,303,2.988188838631774,0.6,0.585,0.5866666666666667,0.54,0.554
0.828,rec.sport.hockey,132,2.9878673336718045,0.6,0.585,0.5866666666666667,0.54,0.554
0.83,comp.sys.ibm.pc.hardware,141,2.9876854156426544,0.6,0.585,0.59,0.5425,0.558
0.832,alt.atheism,230,2.987666709622776,0.6,0.585,0.59,0.5425,0.56
0.832,comp.sys.ibm.pc.hardware,70,2.987547093033212,0.6,0.585,0.59,0.545,0.56
0.832,sci.med,129,2.987377071496676,0.6,0.585,0.59,0.5475,0.562
0.832,soc.religion.christian,46,2.987259653217959,0.6,0.585,0.59,0.5475,0.562
0.834,sci.electronics,51,2.987214913313608,0.6,0.58,0.5866666666666667,0.5475,0.562
0.834,sci.electronics,228,2.987117577101643,0.61,0.58,0.5866666666666667,0.55,0.564
0.84,sci.crypt,241,2.987039127075096,0.61,0.58,0.5866666666666667,0.55,0.564
0.842,sci.crypt,165,2.9866091590521306,0.61,0.575,0.5833333333333334,0.5475,0.562
0.848,sci.electronics,380,2.9864948674416754,0.61,0.575,0.5833333333333334,0.5475,0.562
0.85,comp.sys.ibm.pc.hardware,373,2.986303582931097,0.61,0.575,0.5833333333333334,0.5475,0.56
0.85,comp.sys.mac.hardware,43,2.9862567824138906,0.61,0.575,0.5833333333333334,0.545,0.558
0.85,comp.sys.ibm.pc.hardware,199,2.986098820782721,0.62,0.58,0.5866666666666667,0.5475,0.562
0.854,comp.sys.ibm.pc.hardware,108,2.9860153488324825,0.62,0.58,0.5866666666666667,0.5475,0.562
0.854,comp.windows.x,66,2.9858901326001557,0.62,0.58,0.59,0.55,0.564
0.858,talk.politics.misc,258,2.9859282436435097,0.62,0.585,0.5933333333333334,0.5525,0.568
0.858,misc.forsale,147,2.9856725592463507,0.62,0.585,0.5933333333333334,0.5525,0.568
0.86,comp.graphics,98,2.9855567929979148,0.62,0.585,0.5933333333333334,0.5525,0.568
0.86,rec.sport.baseball,77,2.9853250317363424,0.62,0.59,0.5933333333333334,0.5525,0.568
0.86,rec.autos,285,2.985244243681344,0.62,0.585,0.59,0.55,0.566
0.862,talk.politics.misc,404,2.984995821646111,0.61,0.58,0.5866666666666667,0.545,0.562
0.868,talk.religion.misc,73,2.984593931756843,0.61,0.58,0.5866666666666667,0.545,0.564
0.87,alt.atheism,187,2.9845348381194987,0.6,0.575,0.5833333333333334,0.5425,0.562
0.868,comp.graphics,460,2.9843346453644224,0.6,0.575,0.5833333333333334,0.54,0.56
0.868,comp.sys.mac.hardware,496,2.9841295656963,0.6,0.575,0.5833333333333334,0.5425,0.562
0.868,misc.forsale,212,2.983956876289729,0.6,0.575,0.5833333333333334,0.5425,0.564
0.872,misc.forsale,443,2.9838086863617037,0.6,0.575,0.58,0.54,0.562
0.874,sci.crypt,381,2.983729241948261,0.6,0.575,0.58,0.5375,0.558
0.878,talk.politics.misc,485,2.9836941357019398,0.6,0.575,0.58,0.5375,0.558
0.88,talk.politics.misc,448,2.9835361519376806,0.6,0.575,0.58,0.5375,0.558
0.88,talk.politics.guns,233,2.983379096616181,0.62,0.585,0.5866666666666667,0.5425,0.562
0.88,sci.space,298,2.9832260197656297,0.62,0.585,0.59,0.5425,0.562
0.88,comp.windows.x,464,2.9831498300441557,0.63,0.59,0.5933333333333334,0.55,0.568
0.88,talk.politics.guns,338,2.9830515230774632,0.63,0.585,0.59,0.5525,0.57
0.884,rec.sport.baseball,413,2.9829992288964315,0.64,0.585,0.59,0.5525,0.57
0.884,rec.motorcycles,93,2.9829187182423285,0.64,0.585,0.59,0.5525,0.572
0.886,rec.sport.baseball,81,2.982766554995676,0.65,0.59,0.5933333333333334,0.5575,0.576
