classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.476,13,170,0.23195864821433537,0.34,0.32,0.32,0.3125,0.316
0.478,12,476,0.18969716144560983,0.34,0.32,0.32,0.315,0.318
0.48,13,497,0.24781956581820436,0.34,0.325,0.32666666666666666,0.32,0.322
0.484,12,267,0.20028874879416408,0.34,0.325,0.32666666666666666,0.3175,0.32
0.486,1,433,0.18794524098068027,0.34,0.325,0.33,0.3175,0.322
0.486,4,276,0.1843783394976915,0.34,0.32,0.32666666666666666,0.315,0.32
0.49,11,281,0.24218277647111022,0.34,0.32,0.32666666666666666,0.315,0.32
0.488,3,154,0.21343383760469192,0.34,0.32,0.33,0.315,0.324
0.49,18,435,0.2023884078329134,0.34,0.32,0.33,0.315,0.322
0.494,0,410,0.18204851968248992,0.34,0.325,0.3333333333333333,0.3175,0.322
0.498,10,152,0.21825487013036002,0.34,0.325,0.3333333333333333,0.32,0.324
0.5,15,436,0.21205230425872354,0.34,0.325,0.33666666666666667,0.3225,0.326
0.5,8,266,0.19994647271960533,0.34,0.325,0.33666666666666667,0.3225,0.326
0.5,7,439,0.21793075423215413,0.34,0.33,0.33666666666666667,0.3225,0.326
0.514,2,306,0.18080613408214155,0.34,0.325,0.3333333333333333,0.3225,0.326
0.518,19,307,0.18134296118382112,0.34,0.325,0.3333333333333333,0.3225,0.328
0.518,10,269,0.17890129398769045,0.34,0.325,0.3333333333333333,0.3225,0.328
0.52,4,280,0.22833856900769975,0.34,0.33,0.33666666666666667,0.325,0.33
0.522,16,442,0.23059634955208844,0.34,0.33,0.33666666666666667,0.325,0.332
0.52,17,151,0.20738794503708807,0.34,0.33,0.33666666666666667,0.325,0.334
0.53,13,412,0.18888537176857356,0.34,0.33,0.34,0.33,0.34
0.526,10,175,0.17995191756451578,0.34,0.33,0.34,0.3325,0.342
0.524,14,197,0.17842671004970817,0.35,0.335,0.3433333333333333,0.3325,0.344
0.524,1,341,0.22129081052538663,0.35,0.335,0.3433333333333333,0.33,0.344
0.528,14,274,0.17716810693271318,0.35,0.335,0.34,0.3275,0.342
0.532,12,374,0.17461200071548008,0.35,0.335,0.34,0.3275,0.344
0.534,11,241,0.17499459301312204,0.36,0.34,0.3433333333333333,0.33,0.344
0.538,0,217,0.1744859165105366,0.36,0.34,0.3433333333333333,0.33,0.342
0.54,4,426,0.19392268160271042,0.36,0.34,0.3433333333333333,0.3325,0.344
0.542,19,240,0.17652068474596616,0.36,0.34,0.3433333333333333,0.335,0.346
0.542,6,443,0.25084861074088044,0.37,0.335,0.34,0.33,0.342
0.538,10,444,0.25196576852859054,0.37,0.335,0.34,0.33,0.342
0.538,8,428,0.1948097039777724,0.37,0.335,0.33666666666666667,0.3275,0.34
0.542,15,309,0.19560988619879016,0.37,0.335,0.33666666666666667,0.3275,0.338
0.546,7,427,0.19519560572624828,0.37,0.335,0.33666666666666667,0.3275,0.338
0.544,9,149,0.18423127264840314,0.37,0.335,0.33666666666666667,0.3275,0.336
0.544,1,239,0.17975555465646081,0.37,0.335,0.33666666666666667,0.325,0.334
0.546,16,176,0.18868104272455688,0.37,0.335,0.33666666666666667,0.325,0.336
0.546,17,150,0.18648693953329581,0.37,0.335,0.33666666666666667,0.325,0.336
0.548,15,327,0.17839503763549486,0.37,0.335,0.3333333333333333,0.3225,0.334
0.55,16,265,0.18966561231383228,0.37,0.335,0.3333333333333333,0.3225,0.334
0.55,7,216,0.17885532295613063,0.37,0.335,0.3333333333333333,0.3225,0.336
0.55,11,310,0.20156327369677635,0.37,0.34,0.33666666666666667,0.3275,0.34
0.552,7,328,0.18137015413244456,0.37,0.345,0.34,0.33,0.344
0.552,17,329,0.18193530031276023,0.37,0.345,0.34,0.33,0.346
0.552,13,130,0.1785733365522886,0.37,0.345,0.34,0.33,0.346
0.552,10,331,0.17798037132494393,0.37,0.345,0.34,0.33,0.346
0.556,19,264,0.18596398689052757,0.37,0.345,0.34,0.33,0.346
0.558,14,429,0.19681726925614684,0.38,0.35,0.3433333333333333,0.3325,0.348
0.56,12,323,0.1877683712482772,0.38,0.35,0.3433333333333333,0.33,0.346
0.56,17,262,0.18430168397525712,0.38,0.35,0.3433333333333333,0.33,0.346
0.562,13,324,0.1937815542996754,0.4,0.36,0.35,0.335,0.35
0.566,9,326,0.1965848762753323,0.41,0.365,0.3566666666666667,0.34,0.354
0.568,13,382,0.19217234661255872,0.41,0.365,0.3566666666666667,0.34,0.354
0.572,10,408,0.1861416015941542,0.41,0.36,0.35333333333333333,0.3375,0.352
0.572,13,156,0.23078857603544228,0.41,0.36,0.35333333333333333,0.3375,0.354
0.572,7,342,0.2302132048630603,0.41,0.36,0.3566666666666667,0.34,0.356
0.572,3,242,0.18722664997020091,0.41,0.36,0.3566666666666667,0.34,0.356
0.57,19,311,0.20843892688203475,0.41,0.36,0.3566666666666667,0.3425,0.358
0.57,15,260,0.17928670059135646,0.41,0.36,0.35333333333333333,0.34,0.356
0.574,1,218,0.18279945365230554,0.41,0.365,0.3566666666666667,0.3425,0.358
0.58,0,330,0.1777207201768074,0.4,0.36,0.3566666666666667,0.3425,0.358
0.58,5,66,0.17449471893387522,0.4,0.36,0.3566666666666667,0.3425,0.358
0.578,12,461,0.19340746071710802,0.4,0.36,0.3566666666666667,0.3425,0.358
0.576,10,406,0.18171083072114597,0.39,0.355,0.35333333333333333,0.3375,0.354
0.578,0,376,0.18249907161891551,0.39,0.355,0.35333333333333333,0.34,0.356
0.58,5,244,0.1744005142289454,0.39,0.36,0.3566666666666667,0.3425,0.358
0.582,15,249,0.1737285276138295,0.39,0.36,0.3566666666666667,0.3425,0.358
0.586,1,460,0.18962485779149163,0.39,0.36,0.3566666666666667,0.3425,0.358
0.59,12,177,0.20220919425333778,0.39,0.36,0.3566666666666667,0.345,0.36
0.59,9,459,0.18811234874807437,0.39,0.365,0.3566666666666667,0.345,0.36
0.59,18,258,0.17235620345116331,0.39,0.365,0.3566666666666667,0.345,0.36
0.594,2,457,0.18659512116594162,0.39,0.36,0.35333333333333333,0.3425,0.36
0.594,2,245,0.17526605543681803,0.38,0.355,0.35,0.34,0.358
0.596,13,243,0.19163126744833303,0.38,0.355,0.35,0.34,0.358
0.606,0,454,0.18434858063769044,0.39,0.36,0.35333333333333333,0.3425,0.358
0.606,2,312,0.21204208119725626,0.4,0.365,0.3566666666666667,0.3475,0.364
0.608,0,198,0.19017012331310176,0.41,0.37,0.36,0.35,0.366
0.612,7,250,0.17541281379853566,0.41,0.375,0.36333333333333334,0.3525,0.368
0.616,16,325,0.17320838132770233,0.41,0.375,0.36333333333333334,0.3525,0.37
0.616,6,372,0.1723463609218751,0.41,0.375,0.36333333333333334,0.35,0.368
0.616,10,284,0.18774745835873372,0.41,0.375,0.36666666666666664,0.3525,0.372
0.614,13,343,0.23184916040975234,0.42,0.38,0.37,0.355,0.374
0.616,8,178,0.2064365861737314,0.42,0.38,0.37,0.355,0.374
0.618,9,148,0.18557247860362988,0.42,0.38,0.37333333333333335,0.3575,0.376
0.622,16,453,0.1771954992091795,0.42,0.38,0.37333333333333335,0.3575,0.376
0.622,3,14,0.1719455851147039,0.42,0.38,0.37333333333333335,0.3575,0.376
0.622,1,179,0.20791633055695477,0.42,0.38,0.37333333333333335,0.36,0.378
0.626,7,285,0.18954466186513522,0.43,0.385,0.37666666666666665,0.3625,0.38
0.626,9,358,0.18447290629054855,0.44,0.39,0.38333333333333336,0.3675,0.384
0.63,16,399,0.20892477609747404,0.45,0.395,0.38666666666666666,0.37,0.386
0.628,14,400,0.2092581327813496,0.45,0.395,0.38666666666666666,0.3725,0.388
0.63,3,365,0.197785090981874,0.46,0.4,0.39,0.375,0.39
0.634,4,131,0.1869195686067069,0.46,0.4,0.39,0.375,0.39
0.636,17,366,0.20611076718289786,0.45,0.395,0.38666666666666666,0.375,0.39
0.64,14,219,0.18493511541738897,0.45,0.395,0.39,0.375,0.39
0.642,7,368,0.21384343066090017,0.45,0.395,0.3933333333333333,0.3775,0.392
0.646,9,447,0.1946630564463234,0.45,0.395,0.3933333333333333,0.3775,0.392
0.652,3,287,0.19161331190791236,0.45,0.39,0.39,0.375,0.39
0.652,17,371,0.2241997565227182,0.44,0.385,0.38666666666666666,0.3725,0.388
0.66,18,448,0.19519847995184691,0.44,0.39,0.39,0.375,0.392
