classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.474,15,146,0.15648130787760917,0.34,0.285,0.25666666666666665,0.2475,0.274
0.482,9,361,0.15574585716078682,0.34,0.29,0.26,0.2525,0.28
0.486,16,351,0.15442998465946428,0.35,0.3,0.26666666666666666,0.2575,0.284
0.486,1,168,0.15782608272619764,0.35,0.3,0.26666666666666666,0.2575,0.286
0.49,11,350,0.18593256473562897,0.36,0.305,0.2733333333333333,0.2625,0.29
0.496,6,147,0.15750502710674186,0.36,0.305,0.2733333333333333,0.2625,0.29
0.496,5,224,0.1602425170642212,0.36,0.305,0.2733333333333333,0.2675,0.296
0.5,9,362,0.15602486893398027,0.36,0.305,0.2733333333333333,0.2675,0.296
0.5,11,166,0.1554715413329295,0.36,0.3,0.27,0.265,0.294
0.502,7,328,0.20753922766352326,0.36,0.3,0.27,0.265,0.296
0.51,16,221,0.1579730146746129,0.37,0.305,0.2733333333333333,0.2675,0.298
0.514,9,148,0.15846044025577674,0.37,0.305,0.2733333333333333,0.2675,0.298
0.516,4,131,0.15740804918842852,0.37,0.305,0.2733333333333333,0.2675,0.3
0.518,15,220,0.1562023405404819,0.37,0.305,0.28,0.2725,0.304
0.52,9,149,0.15887107765391004,0.37,0.305,0.28,0.2725,0.304
0.518,0,364,0.15630986583413617,0.38,0.31,0.2833333333333333,0.275,0.306
0.526,3,355,0.15528413840835587,0.38,0.305,0.2833333333333333,0.2725,0.304
0.536,15,430,0.1874428474993904,0.38,0.305,0.2833333333333333,0.2725,0.304
0.536,8,60,0.1550477728173872,0.38,0.305,0.2866666666666667,0.275,0.306
0.536,16,158,0.15506266680397873,0.38,0.3,0.2833333333333333,0.275,0.306
0.536,5,91,0.1550947358398218,0.38,0.3,0.2833333333333333,0.2725,0.304
0.54,1,389,0.15468938605915636,0.38,0.3,0.2833333333333333,0.2725,0.304
0.544,5,257,0.15414948906157674,0.39,0.305,0.2866666666666667,0.275,0.306
0.546,10,180,0.15405975859104745,0.4,0.31,0.29,0.2775,0.308
0.546,13,354,0.15347425056756694,0.4,0.31,0.29,0.2775,0.308
0.546,11,256,0.15428657242393107,0.4,0.315,0.29333333333333333,0.28,0.312
0.554,11,45,0.15245227041591275,0.4,0.315,0.29333333333333333,0.28,0.312
0.556,11,89,0.1528841307766852,0.4,0.315,0.29333333333333333,0.28,0.312
0.56,13,388,0.15481276989739012,0.4,0.315,0.29333333333333333,0.2825,0.314
0.562,1,255,0.15438100140257993,0.4,0.315,0.29333333333333333,0.2825,0.314
0.566,1,179,0.15482668832733404,0.42,0.325,0.3,0.2875,0.318
0.572,12,90,0.15558935808756214,0.42,0.33,0.30333333333333334,0.2925,0.322
0.576,14,429,0.1766212337127531,0.43,0.345,0.31666666666666665,0.3025,0.33
0.58,10,157,0.15671748718352768,0.44,0.355,0.3233333333333333,0.3075,0.334
0.58,3,154,0.15912686185608846,0.45,0.36,0.33,0.3125,0.338
0.584,10,248,0.15662995116349465,0.45,0.36,0.33,0.3125,0.338
0.586,13,153,0.1590749388051893,0.45,0.365,0.3333333333333333,0.32,0.344
0.59,15,249,0.1576398088040875,0.45,0.37,0.33666666666666667,0.32,0.344
0.594,1,385,0.15449749092329018,0.45,0.37,0.33666666666666667,0.32,0.344
0.598,17,366,0.15525620718905458,0.46,0.38,0.3433333333333333,0.325,0.35
0.602,6,372,0.1584978367032965,0.46,0.385,0.3466666666666667,0.3275,0.352
0.602,7,377,0.16171442213024115,0.46,0.385,0.3466666666666667,0.3275,0.352
0.602,12,380,0.16489265753691318,0.46,0.38,0.3433333333333333,0.325,0.35
0.608,11,381,0.1680076166506731,0.46,0.385,0.35,0.33,0.354
0.61,9,358,0.16209662994590365,0.48,0.395,0.3566666666666667,0.335,0.358
0.618,13,412,0.17356614717769367,0.48,0.395,0.36333333333333334,0.34,0.364
0.618,11,125,0.16380363036045356,0.48,0.4,0.37,0.345,0.368
0.618,13,382,0.17976668989680505,0.48,0.4,0.37,0.345,0.368
0.616,10,475,0.16352631083514316,0.49,0.405,0.37666666666666665,0.35,0.372
0.616,17,150,0.1629087457731608,0.49,0.405,0.37666666666666665,0.35,0.372
0.622,17,151,0.16318333750513725,0.49,0.405,0.37666666666666665,0.35,0.372
0.622,3,383,0.19003463277950766,0.49,0.41,0.38,0.3525,0.374
0.62,17,86,0.161736192821508,0.5,0.42,0.39,0.36,0.38
0.62,6,252,0.16070489330004542,0.51,0.425,0.3933333333333333,0.365,0.386
0.622,1,360,0.17059256101205528,0.51,0.425,0.4,0.37,0.39
0.624,14,359,0.17103294879244071,0.51,0.425,0.4,0.37,0.392
0.628,15,315,0.1856962283588295,0.52,0.435,0.41,0.3775,0.398
0.628,1,402,0.15838086954241282,0.52,0.435,0.41333333333333333,0.3825,0.402
0.634,5,182,0.15783235384668398,0.51,0.435,0.4166666666666667,0.385,0.408
0.634,17,159,0.15970748289013773,0.51,0.435,0.42,0.3875,0.41
0.636,1,418,0.15707993942008833,0.51,0.435,0.42,0.3875,0.408
0.64,16,399,0.15638779987998302,0.51,0.435,0.42,0.39,0.41
0.646,16,176,0.15996282270735868,0.51,0.445,0.4266666666666667,0.39,0.41
0.648,8,178,0.16376041189445154,0.51,0.445,0.43,0.3925,0.41
0.654,10,406,0.1665027156061519,0.51,0.445,0.43,0.3925,0.412
0.65,19,357,0.17099329536323926,0.51,0.445,0.43,0.3925,0.41
0.648,4,345,0.1707944502791541,0.51,0.445,0.4266666666666667,0.39,0.408
0.646,19,160,0.1614167114710041,0.52,0.445,0.4266666666666667,0.39,0.408
0.652,11,183,0.1594720964282026,0.52,0.445,0.4266666666666667,0.39,0.408
0.654,17,22,0.15519104425065128,0.52,0.445,0.4266666666666667,0.39,0.408
0.656,17,329,0.2631882800317576,0.52,0.445,0.4266666666666667,0.39,0.41
0.656,12,379,0.21870147234271753,0.52,0.445,0.4266666666666667,0.39,0.41
0.654,14,405,0.16317745028315428,0.52,0.445,0.4266666666666667,0.39,0.41
0.654,18,404,0.16275817214655836,0.52,0.445,0.4266666666666667,0.39,0.41
0.654,15,356,0.16685401413588927,0.53,0.445,0.4266666666666667,0.39,0.41
0.654,0,246,0.1555413365009,0.53,0.445,0.4266666666666667,0.39,0.41
0.654,11,390,0.15827790819140036,0.53,0.445,0.4266666666666667,0.3875,0.408
0.658,15,116,0.15435819051642047,0.53,0.445,0.43,0.3925,0.412
0.664,2,245,0.15446033998250086,0.54,0.45,0.43333333333333335,0.395,0.414
0.664,13,343,0.16490707992448345,0.55,0.46,0.44,0.4,0.418
0.666,2,391,0.1622006581535786,0.55,0.46,0.44333333333333336,0.4025,0.422
0.668,6,392,0.16311314105337862,0.55,0.46,0.44333333333333336,0.4025,0.422
0.668,13,393,0.1639858585453852,0.55,0.46,0.44666666666666666,0.405,0.424
0.668,8,394,0.16481585512494754,0.54,0.455,0.44333333333333336,0.4,0.42
0.668,4,117,0.15514309780684413,0.55,0.46,0.44666666666666666,0.4025,0.422
0.672,12,378,0.22284734110025659,0.56,0.465,0.45,0.405,0.424
0.672,9,401,0.15731868290356468,0.56,0.465,0.45,0.405,0.424
0.672,2,308,0.1607812649173686,0.56,0.465,0.45,0.41,0.43
0.672,14,400,0.15647400682004609,0.56,0.465,0.45,0.4125,0.432
0.674,12,395,0.16878409602696337,0.55,0.46,0.44666666666666666,0.4125,0.434
0.676,11,468,0.15534986233218548,0.55,0.465,0.45,0.415,0.438
0.678,10,397,0.1552184999873993,0.55,0.465,0.45,0.415,0.44
